St. Martin (French part),MAF,21668.3740927942
Antigua and Barbuda,ATG,21494.5474000727
Curacao,CUW,21061.741639092
Oman,OMN,20972.4830886637
Guyana,GUY,20473.7002190617
Panama,PAN,18686.4050961265
Trinidad and Tobago,TTO,18639.259241294
Romania,ROU,18404.2730871704
Seychelles,SYC,18262.7115849287
American Samoa,ASM,18017.4589383973
Caribbean small states,CSS,17582.2636796878
Chile,CHL,17067.0364799154
Costa Rica,CRI,16942.0268119304
"Venezuela, RB",VEN,15943.6127197163
Palau,PLW,15899.4246065324
Bulgaria,BGR,15883.8618545581
Other small states,OSS,15151.4664915358
Small states,SST,14222.966048012
Argentina,ARG,14187.4827252965
Russian Federation,RUS,14159.3876953125
Mexico,MEX,13826.1306570122
St. Lucia,LCA,13554.7684784933
World,WLD,13263.6195488046
East Asia & Pacific,EAS,13117.90954458
Turkiye,TUR,13105.6585004778
China,CHN,12951.1782397043
Kazakhstan,KAZ,12879.4275257974
Nauru,NRU,12754.1867566585
Maldives,MDV,12530.3602359683
Late-demographic dividend,LTE,12422.7253981593
Serbia,SRB,12281.5058488303
Europe & Central Asia (IDA & IBRD countries),TEC,12106.9240912296
Montenegro,MNE,12077.3747094687
Malaysia,MYS,11379.0851923557
Grenada,GRD,11308.2874249451
Mauritius,MUS,11182.186568616
Latin America & Caribbean,LCN,10838.827948659
Upper middle income,UMC,10631.3167441564
Dominican Republic,DOM,10630.431743829
Latin America & the Caribbean (IDA & IBRD countries),TLA,10593.1164302324
St. Vincent and the Grenadines,VCT,10582.3656725229
Brazil,BRA,10377.5892792557
East Asia & Pacific (IDA & IBRD countries),TEA,10239.674334039
Latin America & Caribbean (excluding high income),LAC,10166.928671097
East Asia & Pacific (excluding high income),EAP,10125.7668065643
Dominica,DMA,9912.96212766668
Cuba,CUB,9605.26125067263
Bosnia and Herzegovina,BIH,8663.02322987879
North Macedonia,MKD,8624.28400232117
Albania,ALB,8575.17134637222
Europe & Central Asia (excluding high income),ECA,8571.4101866164
Georgia,GEO,8283.66960652261
Turkmenistan,TKM,8232.65225980002
Armenia,ARM,8125.27395754003
Gabon,GAB,8071.39777400455
IBRD only,IBD,7964.73675347128
Belarus,BLR,7896.75388295584
Peru,PER,7887.54185920108
Botswana,BWA,7826.35376483298
Arab World,ARB,7479.68809103279
Belize,BLZ,7459.99815132837
Thailand,THA,7195.10130919449
Azerbaijan,AZE,7133.02838048328
Colombia,COL,7000.83660501046
Jamaica,JAM,6839.72502408181
Moldova,MDA,6799.58594644576
Ecuador,ECU,6737.84748379638
Marshall Islands,MHL,6678.34239060448
Equatorial Guinea,GNQ,6677.793435386
Middle income,MIC,6347.75391928372
Tuvalu,TUV,6344.7750188689
Paraguay,PRY,6299.99026533643
Kosovo,XKX,6221.20365212094
Libya,LBY,6172.81246940233
IDA & IBRD total,IBT,6162.30588823383
"Middle East, North Africa, Afghanistan & Pakistan",MEA,6063.05247657864
South Africa,ZAF,6022.54254192335
Iraq,IRQ,5965.31835077761
Fiji,FJI,5888.73667332429
Mongolia,MNG,5838.63108083902
Low & middle income,LMY,5819.84086254913
Guatemala,GTM,5758.30876298845
Suriname,SUR,5494.07409425517
El Salvador,SLV,5365.44491399171
Algeria,DZA,5364.02795022731
Ukraine,UKR,5139.59814453125
Indonesia,IDN,4876.30774512252
